T(K),a,da/dT
988.9,0.91013467,0.00080079
989.65,0.91087366,0.00081215
990.4,0.91161550,0.00082402
991.15,0.91235035,0.00083198
991.9,0.91308798,0.00083579
992.65,0.91381932,0.00083912
993.65,0.91477986,0.00084013
994.4,0.91548674,0.00083795
994.9,0.91594881,0.00083194
995.9,0.91687997,0.00082488
996.9,0.91776781,0.00081592
997.9,0.91864718,0.00080220
998.4,0.91908565,0.00078586
999.15,0.91970765,0.00076697
1000.15,0.92048348,0.00074554
1000.9,0.92105864,0.00072356
1001.4,0.92143092,0.00069983
1002.65,0.92232009,0.00067543
1003.4,0.92282605,0.00065095
1004.15,0.92331113,0.00062616
1005.15,0.92392346,0.00060068
1005.9,0.92439084,0.00057664
1006.4,0.92462664,0.00055328
1007.4,0.92516603,0.00053125
1007.9,0.92540068,0.00050694
1009.9,0.92622551,0.00048539
1010.65,0.92651607,0.00046356
1011.15,0.92669313,0.00044258
1012.15,0.92702813,0.00042260
1012.9,0.92726351,0.00040432
1013.65,0.92748642,0.00038629
1014.65,0.92776781,0.00036922
1015.4,0.92797014,0.00035354
1015.9,0.92810247,0.00033938
1016.9,0.92833875,0.00032720
1017.65,0.92853625,0.00031712
1018.4,0.92873500,0.00030741
1019.4,0.92902024,0.00030379
1019.9,0.92913342,0.00029811
1020.9,0.92939624,0.00029544
1021.65,0.92958097,0.00029471
1022.4,0.92978239,0.00029477
1023.4,0.93003221,0.00029587
1023.9,0.93015514,0.00029776
1024.65,0.93033819,0.00029810
1025.65,0.93058758,0.00030123
1026.4,0.93078004,0.00030392
1026.9,0.93091205,0.00030692
1028.15,0.93127884,0.00031030
1028.65,0.93143887,0.00031388
1029.4,0.93169503,0.00031657
1030.4,0.93206173,0.00031878
1030.9,0.93224899,0.00031988
1031.65,0.93254307,0.00032324
1032.9,0.93303194,0.00032460
1033.4,0.93322660,0.00032681
1034.15,0.93351601,0.00032833
1035.15,0.93390571,0.00033063
1035.9,0.93414859,0.00033330
1036.4,0.93434256,0.00033630
1037.4,0.93470194,0.00033954
1038.15,0.93496947,0.00034315
1039.15,0.93533213,0.00034700
1039.9,0.93558730,0.00035041
1040.4,0.93575796,0.00035402
1041.4,0.93608716,0.00035740
1041.9,0.93624565,0.00036090
1042.65,0.93648857,0.00036507
1043.65,0.93679072,0.00036941
1044.4,0.93702356,0.00037432
1045.15,0.93725806,0.00037953
1046.15,0.93757447,0.00038575
1046.9,0.93781708,0.00039249
1047.4,0.93798256,0.00040224
1048.4,0.93832593,0.00041000
1049.15,0.93859698,0.00042010
1049.65,0.93878485,0.00043060
1050.65,0.93917701,0.00044143
1051.4,0.93949561,0.00045355
1051.9,0.93971540,0.00046598
1053.15,0.94030060,0.00047880
1053.65,0.94054838,0.00049366
1054.65,0.94106634,0.00050915
1055.4,0.94146638,0.00052382
1055.65,0.94160149,0.00054220
1056.9,0.94230922,0.00055781
1057.65,0.94274818,0.00057639
1058.15,0.94305141,0.00059256
1059.15,0.94366457,0.00061020
1059.9,0.94415367,0.00062736
